Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Projects\GithubRepos\DigiturkArticleProject\DigiturkArticleProject.API
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Articles getting
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Projects\GithubRepos\DigiturkArticleProject\DigiturkArticleProject.API
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Articles getting
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Articles getting
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Articles getting
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Projects\GithubRepos\DigiturkArticleProject\DigiturkArticleProject.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get all Articles
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get one Article
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Article getting
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get one Article
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Article getting
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get one Article
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Article getting
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get one Article
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Article getting
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get one Article
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Article getting
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Application started. Press Ctrl+C to shut down.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Hosting environment: Development
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Content root path: C:\Projects\GithubRepos\DigiturkArticleProject\DigiturkArticleProject.API
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get one Article
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Article getting
Log Level : Error | Event ID : 1 | Event Name : UnhandledException | Formatter : An unhandled exception has occurred while executing the request.
Log Level : Information | Event ID : 0 | Event Name :  | Formatter : Get one Article
Log Level : Error | Event ID : 0 | Event Name :  | Formatter : Error occurred on Article getting
